年月,日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均湿度(％),平均湿度(％),平均湿度(％),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比)
,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
5-Jan,10,8,1,2.6,8,1,77,0,8,1,200,0,8,1,3.7,8,1,47,8,1,4.2,8,1
5-Feb,9.9,8,1,2.5,8,1,48,0,8,1,148.9,0,8,1,3.9,8,1,45,8,1,6.3,8,1
5-Mar,13.1,8,1,5,8,1,71,0,8,1,175.1,0,8,1,3.5,8,1,49,8,1,6,8,1
5-Apr,19.6,8,1,10.7,8,1,81,0,8,1,216.1,0,8,1,3.8,8,1,54,8,1,5.4,8,1
5-May,21.9,8,1,14.1,8,1,180.5,0,8,1,172.3,0,8,1,3.9,8,1,58,8,1,7.2,8,1
5-Jun,26.7,8,1,20.2,8,1,170.5,0,8,1,119.3,0,8,1,3,8,1,70,8,1,8.9,8,1
5-Jul,29.1,8,1,22.6,8,1,247.5,0,8,1,103.9,0,8,1,2.9,8,1,71,8,1,8.9,8,1
5-Aug,31.8,8,1,25.1,8,1,189.5,0,8,1,159.9,0,8,1,3.4,8,1,68,8,1,7.6,8,1
5-Sep,28.2,8,1,21.8,8,1,177.5,0,8,1,154.2,0,8,1,3.6,8,1,67,8,1,7.1,8,1
5-Oct,22.3,8,1,16.6,8,1,201.5,0,8,1,108.3,0,8,1,3.3,8,1,69,8,1,7.3,8,1
5-Nov,17,8,1,9.6,8,1,34.5,0,8,1,194.6,0,8,1,2.9,8,1,52,8,1,4.7,8,1
5-Dec,10.2,8,1,2.9,8,1,3.5,0,8,1,212.4,0,8,1,3.4,8,1,39,8,1,3,8,1
6-Jan,8.5,8,1,2,8,1,67,0,8,1,169.9,0,8,1,3.8,8,1,44,8,1,4.9,8,1
6-Feb,10.5,8,1,3.3,8,1,113,0,8,1,128.5,0,8,1,3.7,5,1,53,8,1,6.5,8,1
6-Mar,14,8,1,5.9,8,1,79.5,0,8,1,176.2,0,8,1,3.8,8,1,48,8,1,5.9,8,1
6-Apr,17.5,8,1,10.1,8,1,123,0,8,1,147,0,8,1,3.6,8,1,57,8,1,7.1,8,1
6-May,22.7,8,1,15.7,8,1,99,0,8,1,136.7,0,8,1,3.8,8,1,65,8,1,7.9,8,1
